competition;season;home_score;away_score;round;
Top 14;2008-2009;9;19;Semi;
Top 14;2008-2009;25;21;Semi;
Top 14;2008-2009;22;13;Finale;
Top 14;2009-2010;22;22;J1;
Top 14;2009-2010;13;19;J1;
Top 14;2009-2010;28;37;J1;
Top 14;2009-2010;12;24;J1;
Top 14;2009-2010;16;17;J1;
Top 14;2009-2010;28;20;J1;
Top 14;2009-2010;30;9;J1;
Top 14;2009-2010;38;24;J2;
Top 14;2009-2010;37;16;J2;
Top 14;2009-2010;38;0;J2;
Top 14;2009-2010;18;12;J2;
Top 14;2009-2010;39;6;J2;
Top 14;2009-2010;27;13;J2;
Top 14;2009-2010;29;9;J2;
Top 14;2009-2010;9;9;J3;
Top 14;2009-2010;43;26;J3;
Top 14;2009-2010;18;9;J3;
Top 14;2009-2010;22;17;J3;
Top 14;2009-2010;17;15;J3;
Top 14;2009-2010;9;15;J3;
Top 14;2009-2010;35;40;J4;
Top 14;2009-2010;21;17;J4;
Top 14;2009-2010;26;21;J4;
Top 14;2009-2010;17;13;J4;
Top 14;2009-2010;21;9;J4;
Top 14;2009-2010;21;18;J5;
Top 14;2009-2010;53;6;J5;
Top 14;2009-2010;33;18;J5;
Top 14;2009-2010;39;6;J5;
Top 14;2009-2010;14;18;J5;
Top 14;2009-2010;30;22;J5;
Top 14;2009-2010;19;12;J5;
Top 14;2009-2010;17;6;J6;
Top 14;2009-2010;19;13;J6;
Top 14;2009-2010;21;20;J6;
Top 14;2009-2010;44;18;J6;
Top 14;2009-2010;23;20;J6;
Top 14;2009-2010;12;6;J6;
Top 14;2009-2010;30;22;J6;
Top 14;2009-2010;26;3;J7;
Top 14;2009-2010;8;40;J7;
Top 14;2009-2010;20;6;J7;
Top 14;2009-2010;12;15;J7;
Top 14;2009-2010;9;6;J7;
Top 14;2009-2010;28;9;J7;
Top 14;2009-2010;18;13;J7;
Top 14;2009-2010;19;14;J8;
Top 14;2009-2010;11;9;J8;
Top 14;2009-2010;19;3;J8;
Top 14;2009-2010;18;14;J8;
Top 14;2009-2010;12;15;J8;
Top 14;2009-2010;23;9;J8;
Top 14;2009-2010;9;9;J8;
Top 14;2009-2010;44;16;J9;
Top 14;2009-2010;21;19;J9;
Top 14;2009-2010;38;13;J9;
Top 14;2009-2010;12;30;J9;
Top 14;2009-2010;17;12;J9;
Top 14;2009-2010;27;12;J9;
Top 14;2009-2010;26;16;J9;
Top 14;2009-2010;6;15;J10;
Top 14;2009-2010;23;3;J10;
Top 14;2009-2010;16;9;J10;
Top 14;2009-2010;46;28;J10;
Top 14;2009-2010;10;18;J10;
Top 14;2009-2010;20;6;J10;
Top 14;2009-2010;14;20;J10;
Top 14;2009-2010;17;15;J11;
Top 14;2009-2010;15;18;J11;
Top 14;2009-2010;8;14;J11;
Top 14;2009-2010;27;20;J11;
Top 14;2009-2010;14;14;J11;
Top 14;2009-2010;19;19;J11;
Top 14;2009-2010;14;5;J11;
Top 14;2009-2010;19;14;J12;
Top 14;2009-2010;41;3;J12;
Top 14;2009-2010;9;9;J12;
Top 14;2009-2010;19;0;J12;
Top 14;2009-2010;23;18;J12;
Top 14;2009-2010;25;9;J12;
Top 14;2009-2010;24;23;J13;
Top 14;2009-2010;20;23;J13;
Top 14;2009-2010;38;13;J13;
Top 14;2009-2010;19;10;J13;
Top 14;2009-2010;20;18;J13;
Top 14;2009-2010;30;10;J13;
Top 14;2009-2010;13;16;J13;
Top 14;2009-2010;18;22;J14;
Top 14;2009-2010;34;6;J14;
Top 14;2009-2010;9;6;J14;
Top 14;2009-2010;3;25;J14;
Top 14;2009-2010;17;12;J14;
Top 14;2009-2010;32;3;J14;
Top 14;2009-2010;20;15;J15;
Top 14;2009-2010;16;9;J15;
Top 14;2009-2010;29;3;J15;
Top 14;2009-2010;34;10;J15;
Top 14;2009-2010;20;9;J15;
Top 14;2009-2010;27;21;J15;
Top 14;2009-2010;28;15;J15;
Top 14;2009-2010;25;23;J16;
Top 14;2009-2010;30;7;J16;
Top 14;2009-2010;52;10;J16;
Top 14;2009-2010;19;23;J16;
Top 14;2009-2010;41;13;J16;
Top 14;2009-2010;23;6;J16;
Top 14;2009-2010;22;11;J16;
Top 14;2009-2010;17;18;J17;
Top 14;2009-2010;44;10;J17;
Top 14;2009-2010;6;6;J17;
Top 14;2009-2010;29;9;J17;
Top 14;2009-2010;26;10;J17;
Top 14;2009-2010;39;3;J17;
Top 14;2009-2010;13;15;J17;
Top 14;2009-2010;31;12;J18;
Top 14;2009-2010;15;0;J18;
Top 14;2009-2010;18;7;J18;
Top 14;2009-2010;15;17;J18;
Top 14;2009-2010;25;15;J18;
Top 14;2009-2010;15;16;J18;
Top 14;2009-2010;33;24;J19;
Top 14;2009-2010;31;19;J19;
Top 14;2009-2010;19;14;J19;
Top 14;2009-2010;32;14;J19;
Top 14;2009-2010;6;24;J19;
Top 14;2009-2010;49;20;J19;
Top 14;2009-2010;15;0;J19;
Top 14;2009-2010;12;6;J20;
Top 14;2009-2010;24;24;J20;
Top 14;2009-2010;16;22;J20;
Top 14;2009-2010;45;18;J20;
Top 14;2009-2010;16;22;J20;
Top 14;2009-2010;16;13;J20;
Top 14;2009-2010;3;6;J20;
Top 14;2009-2010;22;17;J21;
Top 14;2009-2010;35;10;J21;
Top 14;2009-2010;22;14;J21;
Top 14;2009-2010;21;20;J21;
Top 14;2009-2010;46;13;J21;
Top 14;2009-2010;0;29;J21;
Top 14;2009-2010;22;19;J21;
Top 14;2009-2010;19;6;J22;
Top 14;2009-2010;22;13;J22;
Top 14;2009-2010;34;3;J22;
Top 14;2009-2010;7;17;J22;
Top 14;2009-2010;26;14;J22;
Top 14;2009-2010;19;14;J22;
Top 14;2009-2010;45;31;J22;
Top 14;2009-2010;9;13;J23;
Top 14;2009-2010;25;18;J23;
Top 14;2009-2010;41;3;J23;
Top 14;2009-2010;26;10;J23;
Top 14;2009-2010;44;23;J23;
Top 14;2009-2010;12;26;J23;
Top 14;2009-2010;26;10;J23;
Top 14;2009-2010;28;23;J24;
Top 14;2009-2010;62;17;J24;
Top 14;2009-2010;31;13;J24;
Top 14;2009-2010;25;15;J24;
Top 14;2009-2010;42;13;J24;
Top 14;2009-2010;19;10;J24;
Top 14;2009-2010;11;17;J24;
Top 14;2009-2010;25;19;J25;
Top 14;2009-2010;15;13;J25;
Top 14;2009-2010;6;19;J25;
Top 14;2009-2010;33;25;J25;
Top 14;2009-2010;38;24;J25;
Top 14;2009-2010;33;23;J25;
Top 14;2009-2010;29;22;J25;
Top 14;2009-2010;25;17;J26;
Top 14;2009-2010;34;27;J26;
Top 14;2009-2010;41;17;J26;
Top 14;2009-2010;22;8;J26;
Top 14;2009-2010;44;0;J26;
Top 14;2009-2010;23;26;J26;
Top 14;2009-2010;19;26;J26;
Top 14;2009-2010;21;17;Barrages;
Top 14;2009-2010;35;12;Barrages;
Top 14;2009-2010;21;13;Semi;
Top 14;2009-2010;29;35;Semi;
Top 14;2009-2010;6;19;Finale;
Top 14;2010-2011;44;24;J1;
Top 14;2010-2011;18;23;J1;
Top 14;2010-2011;30;22;J1;
Top 14;2010-2011;22;26;J1;
Top 14;2010-2011;43;12;J1;
Top 14;2010-2011;21;13;J1;
Top 14;2010-2011;22;17;J1;
Top 14;2010-2011;12;25;J2;
Top 14;2010-2011;26;11;J2;
Top 14;2010-2011;36;19;J2;
Top 14;2010-2011;27;0;J2;
Top 14;2010-2011;41;26;J2;
Top 14;2010-2011;3;13;J2;
Top 14;2010-2011;22;16;J2;
Top 14;2010-2011;31;36;J3;
Top 14;2010-2011;6;16;J3;
Top 14;2010-2011;28;23;J3;
Top 14;2010-2011;25;16;J3;
Top 14;2010-2011;20;12;J3;
Top 14;2010-2011;33;9;J3;
Top 14;2010-2011;34;16;J3;
Top 14;2010-2011;22;21;J4;
Top 14;2010-2011;17;12;J4;
Top 14;2010-2011;19;18;J4;
Top 14;2010-2011;40;34;J4;
Top 14;2010-2011;22;15;J4;
Top 14;2010-2011;13;15;J4;
Top 14;2010-2011;13;15;J4;
Top 14;2010-2011;31;25;J5;
Top 14;2010-2011;23;28;J5;
Top 14;2010-2011;23;23;J5;
Top 14;2010-2011;50;3;J5;
Top 14;2010-2011;27;10;J5;
Top 14;2010-2011;27;9;J5;
Top 14;2010-2011;19;11;J5;
Top 14;2010-2011;18;16;J6;
Top 14;2010-2011;23;12;J6;
Top 14;2010-2011;43;18;J6;
Top 14;2010-2011;27;20;J6;
Top 14;2010-2011;27;29;J6;
Top 14;2010-2011;41;10;J6;
Top 14;2010-2011;25;20;J6;
Top 14;2010-2011;29;20;J7;
Top 14;2010-2011;28;6;J7;
Top 14;2010-2011;23;29;J7;
Top 14;2010-2011;51;20;J7;
Top 14;2010-2011;22;21;J7;
Top 14;2010-2011;28;16;J7;
Top 14;2010-2011;6;35;J7;
Top 14;2010-2011;3;26;J8;
Top 14;2010-2011;17;12;J8;
Top 14;2010-2011;24;6;J8;
Top 14;2010-2011;16;16;J8;
Top 14;2010-2011;12;27;J8;
Top 14;2010-2011;25;26;J8;
Top 14;2010-2011;26;6;J8;
Top 14;2010-2011;22;15;J9;
Top 14;2010-2011;18;3;J9;
Top 14;2010-2011;21;16;J9;
Top 14;2010-2011;30;13;J9;
Top 14;2010-2011;45;19;J9;
Top 14;2010-2011;28;23;J9;
Top 14;2010-2011;19;22;J9;
Top 14;2010-2011;15;9;J10;
Top 14;2010-2011;38;29;J10;
Top 14;2010-2011;26;21;J10;
Top 14;2010-2011;28;3;J10;
Top 14;2010-2011;38;11;J10;
Top 14;2010-2011;16;13;J10;
Top 14;2010-2011;22;15;J10;
Top 14;2010-2011;18;18;J11;
Top 14;2010-2011;27;3;J11;
Top 14;2010-2011;29;14;J11;
Top 14;2010-2011;21;27;J11;
Top 14;2010-2011;18;29;J11;
Top 14;2010-2011;41;24;J11;
Top 14;2010-2011;44;5;J11;
Top 14;2010-2011;20;29;J12;
Top 14;2010-2011;21;20;J12;
Top 14;2010-2011;17;17;J12;
Top 14;2010-2011;20;24;J12;
Top 14;2010-2011;35;9;J12;
Top 14;2010-2011;22;14;J12;
Top 14;2010-2011;11;35;J12;
Top 14;2010-2011;29;13;J13;
Top 14;2010-2011;15;13;J13;
Top 14;2010-2011;23;13;J13;
Top 14;2010-2011;12;30;J13;
Top 14;2010-2011;23;14;J13;
Top 14;2010-2011;32;25;J13;
Top 14;2010-2011;37;20;J13;
Top 14;2010-2011;22;16;J14;
Top 14;2010-2011;20;9;J14;
Top 14;2010-2011;8;25;J14;
Top 14;2010-2011;25;10;J14;
Top 14;2010-2011;16;26;J14;
Top 14;2010-2011;6;6;J14;
Top 14;2010-2011;22;16;J14;
Top 14;2010-2011;21;3;J15;
Top 14;2010-2011;38;26;J15;
Top 14;2010-2011;23;16;J15;
Top 14;2010-2011;34;9;J15;
Top 14;2010-2011;26;26;J15;
Top 14;2010-2011;28;16;J15;
Top 14;2010-2011;23;16;J15;
Top 14;2010-2011;29;22;J16;
Top 14;2010-2011;12;12;J16;
Top 14;2010-2011;65;22;J16;
Top 14;2010-2011;25;22;J16;
Top 14;2010-2011;14;44;J16;
Top 14;2010-2011;31;3;J16;
Top 14;2010-2011;15;12;J16;
Top 14;2010-2011;31;15;J17;
Top 14;2010-2011;34;12;J17;
Top 14;2010-2011;26;9;J17;
Top 14;2010-2011;12;9;J17;
Top 14;2010-2011;18;26;J17;
Top 14;2010-2011;23;21;J17;
Top 14;2010-2011;29;9;J17;
Top 14;2010-2011;19;22;J18;
Top 14;2010-2011;22;16;J18;
Top 14;2010-2011;20;13;J18;
Top 14;2010-2011;31;18;J18;
Top 14;2010-2011;24;7;J18;
Top 14;2010-2011;29;9;J18;
Top 14;2010-2011;31;18;J18;
Top 14;2010-2011;26;10;J19;
Top 14;2010-2011;15;32;J19;
Top 14;2010-2011;24;32;J19;
Top 14;2010-2011;43;29;J19;
Top 14;2010-2011;24;19;J19;
Top 14;2010-2011;23;19;J19;
Top 14;2010-2011;23;13;J19;
Top 14;2010-2011;19;12;J20;
Top 14;2010-2011;9;21;J20;
Top 14;2010-2011;19;38;J20;
Top 14;2010-2011;32;30;J20;
Top 14;2010-2011;12;20;J20;
Top 14;2010-2011;19;13;J20;
Top 14;2010-2011;25;24;J20;
Top 14;2010-2011;25;19;J21;
Top 14;2010-2011;36;32;J21;
Top 14;2010-2011;22;18;J21;
Top 14;2010-2011;23;22;J21;
Top 14;2010-2011;39;17;J21;
Top 14;2010-2011;20;16;J21;
Top 14;2010-2011;23;19;J21;
Top 14;2010-2011;18;12;J22;
Top 14;2010-2011;50;6;J22;
Top 14;2010-2011;26;17;J22;
Top 14;2010-2011;16;34;J22;
Top 14;2010-2011;40;10;J22;
Top 14;2010-2011;43;21;J22;
Top 14;2010-2011;29;23;J22;
Top 14;2010-2011;24;25;J23;
Top 14;2010-2011;38;10;J23;
Top 14;2010-2011;26;9;J23;
Top 14;2010-2011;26;16;J23;
Top 14;2010-2011;27;42;J23;
Top 14;2010-2011;41;13;J23;
Top 14;2010-2011;21;16;J23;
Top 14;2010-2011;19;29;J24;
Top 14;2010-2011;12;20;J24;
Top 14;2010-2011;52;26;J24;
Top 14;2010-2011;23;16;J24;
Top 14;2010-2011;17;22;J24;
Top 14;2010-2011;22;33;J24;
Top 14;2010-2011;21;9;J24;
Top 14;2010-2011;16;13;J25;
Top 14;2010-2011;51;34;J25;
Top 14;2010-2011;54;20;J25;
Top 14;2010-2011;33;0;J25;
Top 14;2010-2011;34;10;J25;
Top 14;2010-2011;43;12;J25;
Top 14;2010-2011;23;21;J25;
Top 14;2010-2011;10;29;J26;
Top 14;2010-2011;16;29;J26;
Top 14;2010-2011;27;3;J26;
Top 14;2010-2011;18;22;J26;
Top 14;2010-2011;36;10;J26;
Top 14;2010-2011;17;30;J26;
Top 14;2010-2011;15;6;J26;
Top 14;2010-2011;27;17;Barrages;
Top 14;2010-2011;17;18;Barrages;
Top 14;2010-2011;29;6;Semi;
Top 14;2010-2011;25;26;Semi;
Top 14;2010-2011;15;10;Finale;
Top 14;2011-2012;18;13;J1;
Top 14;2011-2012;25;6;J1;
Top 14;2011-2012;30;22;J1;
Top 14;2011-2012;41;20;J1;
Top 14;2011-2012;22;13;J1;
Top 14;2011-2012;19;20;J1;
Top 14;2011-2012;30;5;J1;
Top 14;2011-2012;35;10;J2;
Top 14;2011-2012;47;23;J2;
Top 14;2011-2012;9;9;J2;
Top 14;2011-2012;12;28;J2;
Top 14;2011-2012;0;17;J2;
Top 14;2011-2012;18;6;J2;
Top 14;2011-2012;9;19;J2;
Top 14;2011-2012;34;6;J3;
Top 14;2011-2012;18;23;J3;
Top 14;2011-2012;24;18;J3;
Top 14;2011-2012;12;9;J3;
Top 14;2011-2012;12;12;J3;
Top 14;2011-2012;19;19;J3;
Top 14;2011-2012;41;36;J3;
Top 14;2011-2012;30;11;J4;
Top 14;2011-2012;12;15;J4;
Top 14;2011-2012;33;18;J4;
Top 14;2011-2012;19;12;J4;
Top 14;2011-2012;16;27;J4;
Top 14;2011-2012;24;0;J4;
Top 14;2011-2012;11;22;J4;
Top 14;2011-2012;24;29;J5;
Top 14;2011-2012;16;20;J5;
Top 14;2011-2012;19;13;J5;
Top 14;2011-2012;30;24;J5;
Top 14;2011-2012;25;12;J5;
Top 14;2011-2012;23;24;J5;
Top 14;2011-2012;34;8;J5;
Top 14;2011-2012;16;18;J6;
Top 14;2011-2012;12;19;J6;
Top 14;2011-2012;11;13;J6;
Top 14;2011-2012;28;17;J6;
Top 14;2011-2012;27;23;J6;
Top 14;2011-2012;19;6;J6;
Top 14;2011-2012;22;9;J6;
Top 14;2011-2012;32;7;J7;
Top 14;2011-2012;29;13;J7;
Top 14;2011-2012;22;18;J7;
Top 14;2011-2012;17;26;J7;
Top 14;2011-2012;24;3;J7;
Top 14;2011-2012;38;0;J7;
Top 14;2011-2012;18;6;J7;
Top 14;2011-2012;3;39;J8;
Top 14;2011-2012;16;21;J8;
Top 14;2011-2012;30;10;J8;
Top 14;2011-2012;56;6;J8;
Top 14;2011-2012;15;15;J8;
Top 14;2011-2012;37;13;J8;
Top 14;2011-2012;9;16;J8;
Top 14;2011-2012;19;23;J9;
Top 14;2011-2012;18;16;J9;
Top 14;2011-2012;18;3;J9;
Top 14;2011-2012;41;0;J9;
Top 14;2011-2012;18;15;J9;
Top 14;2011-2012;18;12;J9;
Top 14;2011-2012;12;18;J10;
Top 14;2011-2012;21;17;J10;
Top 14;2011-2012;24;9;J10;
Top 14;2011-2012;37;16;J10;
Top 14;2011-2012;15;9;J11;
Top 14;2011-2012;28;9;J11;
Top 14;2011-2012;16;35;J11;
Top 14;2011-2012;9;9;J11;
Top 14;2011-2012;29;23;J11;
Top 14;2011-2012;22;22;J11;
Top 14;2011-2012;24;15;J11;
Top 14;2011-2012;16;12;J12;
Top 14;2011-2012;33;12;J12;
Top 14;2011-2012;33;16;J12;
Top 14;2011-2012;29;3;J12;
Top 14;2011-2012;19;12;J12;
Top 14;2011-2012;37;18;J12;
Top 14;2011-2012;23;30;J12;
Top 14;2011-2012;6;9;J13;
Top 14;2011-2012;23;10;J13;
Top 14;2011-2012;20;15;J13;
Top 14;2011-2012;16;16;J13;
Top 14;2011-2012;38;13;J13;
Top 14;2011-2012;26;8;J13;
Top 14;2011-2012;25;45;J13;
Top 14;2011-2012;30;15;J14;
Top 14;2011-2012;29;14;J14;
Top 14;2011-2012;33;6;J14;
Top 14;2011-2012;39;6;J14;
Top 14;2011-2012;6;6;J14;
Top 14;2011-2012;15;9;J14;
Top 14;2011-2012;25;6;J14;
Top 14;2011-2012;6;15;J15;
Top 14;2011-2012;51;10;J15;
Top 14;2011-2012;9;23;J15;
Top 14;2011-2012;38;21;J15;
Top 14;2011-2012;20;27;J15;
Top 14;2011-2012;14;14;J15;
Top 14;2011-2012;25;19;J15;
Top 14;2011-2012;38;6;J16;
Top 14;2011-2012;29;23;J16;
Top 14;2011-2012;19;11;J16;
Top 14;2011-2012;17;9;J16;
Top 14;2011-2012;50;10;J16;
Top 14;2011-2012;13;19;J16;
Top 14;2011-2012;10;17;J16;
Top 14;2011-2012;22;11;J17;
Top 14;2011-2012;15;20;J17;
Top 14;2011-2012;26;20;J17;
Top 14;2011-2012;44;7;J17;
Top 14;2011-2012;31;13;J17;
Top 14;2011-2012;25;6;J18;
Top 14;2011-2012;26;30;J18;
Top 14;2011-2012;22;22;J18;
Top 14;2011-2012;13;15;J18;
Top 14;2011-2012;22;33;J18;
Top 14;2011-2012;21;10;J18;
Top 14;2011-2012;19;19;J18;
Top 14;2011-2012;19;6;J19;
Top 14;2011-2012;22;17;J19;
Top 14;2011-2012;22;21;J19;
Top 14;2011-2012;38;13;J19;
Top 14;2011-2012;25;9;J19;
Top 14;2011-2012;35;5;J19;
Top 14;2011-2012;6;6;J19;
Top 14;2011-2012;22;13;J20;
Top 14;2011-2012;34;27;J20;
Top 14;2011-2012;37;26;J20;
Top 14;2011-2012;40;19;J20;
Top 14;2011-2012;20;29;J20;
Top 14;2011-2012;26;11;J20;
Top 14;2011-2012;22;22;J20;
Top 14;2011-2012;18;17;J21;
Top 14;2011-2012;17;34;J21;
Top 14;2011-2012;27;18;J21;
Top 14;2011-2012;29;23;J21;
Top 14;2011-2012;53;27;J21;
Top 14;2011-2012;32;20;J21;
Top 14;2011-2012;19;12;J21;
Top 14;2011-2012;27;16;J22;
Top 14;2011-2012;15;14;J22;
Top 14;2011-2012;47;9;J22;
Top 14;2011-2012;24;13;J22;
Top 14;2011-2012;44;18;J22;
Top 14;2011-2012;14;9;J22;
Top 14;2011-2012;18;22;J22;
Top 14;2011-2012;25;10;J23;
Top 14;2011-2012;22;13;J23;
Top 14;2011-2012;40;19;J23;
Top 14;2011-2012;43;12;J23;
Top 14;2011-2012;25;9;J23;
Top 14;2011-2012;24;19;J23;
Top 14;2011-2012;44;20;J23;
Top 14;2011-2012;22;9;J24;
Top 14;2011-2012;30;21;J24;
Top 14;2011-2012;35;31;J24;
Top 14;2011-2012;19;20;J24;
Top 14;2011-2012;29;15;J24;
Top 14;2011-2012;22;13;J24;
Top 14;2011-2012;25;25;J24;
Top 14;2011-2012;21;16;J25;
Top 14;2011-2012;25;22;J25;
Top 14;2011-2012;34;22;J25;
Top 14;2011-2012;9;23;J25;
Top 14;2011-2012;31;10;J25;
Top 14;2011-2012;30;19;J25;
Top 14;2011-2012;19;13;J25;
Top 14;2011-2012;57;14;J26;
Top 14;2011-2012;16;5;J26;
Top 14;2011-2012;5;29;J26;
Top 14;2011-2012;25;22;J26;
Top 14;2011-2012;37;29;J26;
Top 14;2011-2012;20;13;J26;
Top 14;2011-2012;31;29;J26;
Top 14;2011-2012;31;15;Barrages;
Top 14;2011-2012;17;13;Barrages;
Top 14;2011-2012;24;15;Semi;
Top 14;2011-2012;12;15;Semi;
Top 14;2011-2012;18;12;Finale;
Top 14;2012-2013;23;22;J1;
Top 14;2012-2013;35;10;J1;
Top 14;2012-2013;20;24;J1;
Top 14;2012-2013;32;16;J1;
Top 14;2012-2013;28;29;J1;
Top 14;2012-2013;6;13;J1;
Top 14;2012-2013;15;21;J1;
Top 14;2012-2013;26;22;J2;
Top 14;2012-2013;21;23;J2;
Top 14;2012-2013;37;22;J2;
Top 14;2012-2013;13;8;J2;
Top 14;2012-2013;30;13;J2;
Top 14;2012-2013;24;11;J2;
Top 14;2012-2013;19;25;J2;
Top 14;2012-2013;26;12;J3;
Top 14;2012-2013;22;17;J3;
Top 14;2012-2013;32;15;J3;
Top 14;2012-2013;31;10;J3;
Top 14;2012-2013;53;31;J3;
Top 14;2012-2013;18;7;J3;
Top 14;2012-2013;15;29;J3;
Top 14;2012-2013;27;8;J4;
Top 14;2012-2013;18;13;J4;
Top 14;2012-2013;52;7;J4;
Top 14;2012-2013;62;13;J4;
Top 14;2012-2013;20;20;J4;
Top 14;2012-2013;42;12;J4;
Top 14;2012-2013;13;12;J4;
Top 14;2012-2013;25;32;J5;
Top 14;2012-2013;34;20;J5;
Top 14;2012-2013;18;25;J5;
Top 14;2012-2013;6;14;J5;
Top 14;2012-2013;32;26;J5;
Top 14;2012-2013;28;13;J5;
Top 14;2012-2013;30;22;J5;
Top 14;2012-2013;6;35;J6;
Top 14;2012-2013;33;12;J6;
Top 14;2012-2013;15;23;J6;
Top 14;2012-2013;34;24;J6;
Top 14;2012-2013;44;20;J6;
Top 14;2012-2013;16;28;J6;
Top 14;2012-2013;13;12;J6;
Top 14;2012-2013;28;25;J7;
Top 14;2012-2013;15;6;J7;
Top 14;2012-2013;27;13;J7;
Top 14;2012-2013;19;12;J7;
Top 14;2012-2013;19;15;J7;
Top 14;2012-2013;32;9;J7;
Top 14;2012-2013;15;16;J7;
Top 14;2012-2013;16;13;J8;
Top 14;2012-2013;9;36;J8;
Top 14;2012-2013;12;16;J8;
Top 14;2012-2013;28;23;J8;
Top 14;2012-2013;37;16;J8;
Top 14;2012-2013;28;30;J8;
Top 14;2012-2013;32;34;J8;
Top 14;2012-2013;19;12;J9;
Top 14;2012-2013;28;24;J9;
Top 14;2012-2013;23;6;J9;
Top 14;2012-2013;14;22;J9;
Top 14;2012-2013;12;17;J9;
Top 14;2012-2013;59;0;J9;
Top 14;2012-2013;17;13;J9;
Top 14;2012-2013;34;21;J10;
Top 14;2012-2013;38;36;J10;
Top 14;2012-2013;11;18;J10;
Top 14;2012-2013;32;16;J10;
Top 14;2012-2013;22;11;J10;
Top 14;2012-2013;24;19;J10;
Top 14;2012-2013;32;13;J10;
Top 14;2012-2013;27;9;J11;
Top 14;2012-2013;24;21;J11;
Top 14;2012-2013;20;13;J11;
Top 14;2012-2013;16;17;J11;
Top 14;2012-2013;15;3;J11;
Top 14;2012-2013;13;16;J11;
Top 14;2012-2013;9;6;J11;
Top 14;2012-2013;39;13;J12;
Top 14;2012-2013;30;22;J12;
Top 14;2012-2013;25;22;J12;
Top 14;2012-2013;15;31;J12;
Top 14;2012-2013;29;22;J12;
Top 14;2012-2013;39;3;J12;
Top 14;2012-2013;23;15;J12;
Top 14;2012-2013;24;28;J13;
Top 14;2012-2013;15;6;J13;
Top 14;2012-2013;30;19;J13;
Top 14;2012-2013;39;13;J13;
Top 14;2012-2013;31;10;J13;
Top 14;2012-2013;36;23;J13;
Top 14;2012-2013;9;15;J13;
Top 14;2012-2013;18;19;J14;
Top 14;2012-2013;48;3;J14;
Top 14;2012-2013;40;6;J14;
Top 14;2012-2013;19;9;J14;
Top 14;2012-2013;16;18;J14;
Top 14;2012-2013;54;16;J14;
Top 14;2012-2013;46;13;J14;
Top 14;2012-2013;16;11;J15;
Top 14;2012-2013;36;18;J15;
Top 14;2012-2013;21;13;J15;
Top 14;2012-2013;14;12;J15;
Top 14;2012-2013;26;16;J15;
Top 14;2012-2013;12;16;J15;
Top 14;2012-2013;15;19;J15;
Top 14;2012-2013;22;12;J16;
Top 14;2012-2013;9;13;J16;
Top 14;2012-2013;15;9;J16;
Top 14;2012-2013;35;6;J16;
Top 14;2012-2013;26;19;J16;
Top 14;2012-2013;15;22;J16;
Top 14;2012-2013;19;14;J16;
Top 14;2012-2013;12;6;J17;
Top 14;2012-2013;44;13;J17;
Top 14;2012-2013;41;0;J17;
Top 14;2012-2013;32;14;J17;
Top 14;2012-2013;13;10;J17;
Top 14;2012-2013;22;9;J17;
Top 14;2012-2013;33;10;J17;
Top 14;2012-2013;18;19;J18;
Top 14;2012-2013;51;6;J18;
Top 14;2012-2013;15;10;J18;
Top 14;2012-2013;30;14;J18;
Top 14;2012-2013;56;3;J18;
Top 14;2012-2013;27;13;J18;
Top 14;2012-2013;15;9;J18;
Top 14;2012-2013;25;20;J19;
Top 14;2012-2013;11;23;J19;
Top 14;2012-2013;15;13;J19;
Top 14;2012-2013;9;3;J19;
Top 14;2012-2013;10;17;J19;
Top 14;2012-2013;42;6;J19;
Top 14;2012-2013;32;16;J19;
Top 14;2012-2013;6;6;J20;
Top 14;2012-2013;10;37;J20;
Top 14;2012-2013;23;3;J20;
Top 14;2012-2013;48;17;J20;
Top 14;2012-2013;26;20;J20;
Top 14;2012-2013;17;31;J20;
Top 14;2012-2013;35;16;J20;
Top 14;2012-2013;15;17;J21;
Top 14;2012-2013;20;18;J21;
Top 14;2012-2013;50;15;J21;
Top 14;2012-2013;33;32;J21;
Top 14;2012-2013;20;30;J21;
Top 14;2012-2013;42;14;J21;
Top 14;2012-2013;37;10;J21;
Top 14;2012-2013;33;28;J22;
Top 14;2012-2013;23;19;J22;
Top 14;2012-2013;9;16;J22;
Top 14;2012-2013;20;9;J22;
Top 14;2012-2013;40;7;J22;
Top 14;2012-2013;32;28;J22;
Top 14;2012-2013;43;16;J22;
Top 14;2012-2013;33;16;J23;
Top 14;2012-2013;11;43;J23;
Top 14;2012-2013;17;30;J23;
Top 14;2012-2013;66;21;J23;
Top 14;2012-2013;39;13;J23;
Top 14;2012-2013;20;21;J23;
Top 14;2012-2013;26;27;J23;
Top 14;2012-2013;23;23;J24;
Top 14;2012-2013;10;8;J24;
Top 14;2012-2013;20;28;J24;
Top 14;2012-2013;31;24;J24;
Top 14;2012-2013;9;34;J24;
Top 14;2012-2013;33;28;J24;
Top 14;2012-2013;26;26;J24;
Top 14;2012-2013;39;17;J25;
Top 14;2012-2013;23;15;J25;
Top 14;2012-2013;16;0;J25;
Top 14;2012-2013;32;26;J25;
Top 14;2012-2013;44;17;J25;
Top 14;2012-2013;25;24;J25;
Top 14;2012-2013;19;16;J25;
Top 14;2012-2013;52;17;J26;
Top 14;2012-2013;43;21;J26;
Top 14;2012-2013;57;7;J26;
Top 14;2012-2013;29;28;J26;
Top 14;2012-2013;50;22;J26;
Top 14;2012-2013;33;36;J26;
Top 14;2012-2013;67;3;J26;
